iter	Passed	Remaining
0	58	58528
1	71	35775
2	80	26746
3	91	22704
4	98	19680
5	107	17849
6	114	16309
7	122	15179
8	131	14462
9	143	14217
10	167	15032
11	174	14377
12	189	14422
13	199	14039
14	206	13549
15	214	13171
16	221	12803
17	232	12659
18	239	12342
19	248	12193
20	255	11912
21	265	11813
22	273	11637
23	285	11599
24	297	11615
25	306	11486
26	317	11443
27	327	11366
28	336	11251
29	345	11159
30	353	11047
31	362	10976
32	371	10894
33	380	10799
34	390	10761
35	401	10760
36	411	10711
37	420	10634
38	432	10647
39	441	10592
40	449	10503
41	458	10459
42	470	10476
43	479	10422
44	490	10404
45	498	10345
46	508	10317
47	520	10315
48	529	10270
49	540	10265
50	550	10248
51	561	10230
52	571	10215
53	585	10256
54	594	10210
55	603	10176
56	617	10217
57	629	10232
58	638	10182
59	653	10238
60	665	10243
61	675	10214
62	683	10170
63	692	10132
64	701	10095
65	711	10065
66	720	10038
67	730	10013
68	740	9985
69	748	9950
70	758	9925
71	767	9887
72	776	9864
73	788	9868
74	800	9871
75	809	9847
76	818	9815
77	828	9788
78	839	9785
79	848	9760
80	863	9794
81	876	9810
82	886	9794
83	897	9785
84	907	9770
85	915	9733
86	925	9707
87	937	9720
88	950	9724
89	960	9716
90	970	9690
91	983	9702
92	992	9674
93	1001	9650
94	1010	9623
95	1019	9598
96	1029	9580
97	1044	9617
98	1060	9650
99	1070	9630
100	1079	9611
101	1089	9591
102	1098	9564
103	1109	9560
104	1118	9529
105	1131	9542
106	1140	9519
107	1149	9489
108	1158	9471
109	1168	9451
110	1178	9441
111	1188	9426
112	1197	9401
113	1209	9398
114	1219	9382
115	1227	9350
116	1236	9335
117	1245	9309
118	1254	9287
119	1263	9264
120	1272	9241
121	1280	9214
122	1288	9190
123	1298	9170
124	1306	9143
125	1318	9144
126	1333	9166
127	1346	9170
128	1356	9158
129	1366	9145
130	1374	9120
131	1383	9094
132	1392	9078
133	1400	9052
134	1410	9038
135	1416	9001
136	1427	8989
137	1435	8964
138	1443	8940
139	1452	8924
140	1462	8907
141	1473	8902
142	1483	8892
143	1490	8859
144	1499	8839
145	1505	8807
146	1515	8792
147	1523	8771
148	1538	8784
149	1548	8777
150	1556	8749
151	1565	8732
152	1572	8706
153	1582	8695
154	1594	8693
155	1603	8672
156	1615	8673
157	1622	8647
158	1634	8645
159	1645	8639
160	1654	8622
161	1663	8607
162	1673	8591
163	1680	8565
164	1687	8538
165	1697	8529
166	1712	8542
167	1720	8520
168	1730	8506
169	1743	8514
170	1752	8494
171	1758	8465
172	1765	8438
173	1774	8422
174	1783	8405
175	1792	8393
176	1802	8381
177	1810	8359
178	1823	8364
179	1832	8349
180	1841	8331
181	1849	8310
182	1857	8292
183	1870	8296
184	1883	8299
185	1891	8276
186	1900	8261
187	1908	8241
188	1918	8234
189	1934	8247
190	1947	8247
191	1955	8231
192	1964	8216
193	1972	8195
194	1981	8182
195	1988	8158
196	1997	8142
197	2004	8119
198	2012	8102
199	2019	8079
200	2030	8070
201	2037	8047
202	2045	8030
203	2052	8009
204	2064	8006
205	2071	7985
206	2080	7970
207	2088	7952
208	2095	7932
209	2103	7911
210	2110	7892
211	2118	7875
212	2127	7860
213	2140	7861
214	2149	7846
215	2157	7831
216	2166	7815
217	2174	7801
218	2182	7784
219	2192	7774
220	2203	7765
221	2214	7759
222	2223	7746
223	2235	7746
224	2245	7735
225	2256	7726
226	2266	7717
227	2276	7709
228	2287	7703
229	2302	7709
230	2310	7691
231	2318	7673
232	2324	7652
233	2334	7641
234	2343	7627
235	2351	7611
236	2359	7597
237	2367	7578
238	2377	7568
239	2384	7550
240	2393	7538
241	2407	7541
242	2418	7532
243	2426	7517
244	2437	7510
245	2445	7494
246	2453	7479
247	2461	7465
248	2470	7450
249	2478	7436
250	2490	7430
251	2496	7409
252	2506	7399
253	2513	7380
254	2521	7367
255	2529	7350
256	2539	7341
257	2555	7350
258	2564	7335
259	2572	7322
260	2583	7314
261	2591	7298
262	2599	7285
263	2607	7269
264	2617	7259
265	2625	7244
266	2634	7233
267	2649	7237
268	2657	7222
269	2664	7205
270	2671	7186
271	2680	7175
272	2692	7170
273	2701	7158
274	2711	7148
275	2720	7136
276	2728	7120
277	2736	7107
278	2745	7094
279	2763	7106
280	2773	7096
281	2785	7092
282	2795	7081
283	2804	7071
284	2812	7055
285	2821	7043
286	2830	7031
287	2838	7018
288	2845	7001
289	2854	6989
290	2862	6973
291	2871	6961
292	2879	6948
293	2890	6940
294	2902	6936
295	2910	6922
296	2917	6906
297	2925	6892
298	2933	6878
299	2944	6869
300	2951	6854
301	2958	6838
302	2966	6823
303	2973	6808
304	2980	6792
305	2987	6775
306	2995	6761
307	3002	6745
308	3013	6738
309	3019	6721
310	3027	6706
311	3035	6693
312	3042	6678
313	3049	6661
314	3058	6651
315	3065	6635
316	3074	6624
317	3081	6608
318	3090	6597
319	3098	6583
320	3106	6571
321	3113	6555
322	3120	6540
323	3126	6523
324	3135	6512
325	3141	6495
326	3151	6485
327	3157	6469
328	3168	6462
329	3175	6446
330	3186	6439
331	3196	6430
332	3202	6414
333	3209	6400
334	3216	6385
335	3223	6369
336	3230	6355
337	3236	6339
338	3247	6332
339	3254	6317
340	3262	6304
341	3268	6289
342	3286	6295
343	3303	6300
344	3310	6285
345	3316	6269
346	3323	6255
347	3330	6239
348	3336	6224
349	3343	6208
350	3349	6193
351	3363	6191
352	3375	6186
353	3382	6171
354	3390	6159
355	3397	6145
356	3404	6132
357	3412	6119
358	3421	6109
359	3428	6094
360	3440	6089
361	3449	6079
362	3454	6062
363	3460	6047
364	3488	6069
365	3499	6061
366	3506	6048
367	3520	6045
368	3527	6032
369	3536	6021
370	3542	6005
371	3549	5992
372	3556	5978
373	3565	5968
374	3572	5954
375	3582	5946
376	3588	5930
377	3596	5917
378	3602	5902
379	3611	5891
380	3617	5876
381	3623	5861
382	3630	5848
383	3635	5832
384	3643	5819
385	3649	5804
386	3656	5791
387	3662	5776
388	3667	5760
389	3675	5748
390	3680	5733
391	3686	5718
392	3693	5704
393	3699	5689
394	3723	5703
395	3729	5688
396	3738	5678
397	3744	5663
398	3751	5651
399	3757	5635
400	3762	5621
401	3769	5607
402	3775	5592
403	3781	5578
404	3787	5564
405	3793	5549
406	3798	5534
407	3803	5519
408	3808	5503
409	3814	5488
410	3819	5474
411	3825	5459
412	3830	5444
413	3837	5431
414	3844	5420
415	3851	5406
416	3856	5391
417	3861	5376
418	3867	5363
419	3872	5348
420	3880	5336
421	3886	5322
422	3891	5307
423	3897	5295
424	3902	5280
425	3908	5266
426	3915	5254
427	3920	5239
428	3926	5226
429	3930	5210
430	3935	5195
431	3944	5185
432	3949	5172
433	3955	5158
434	3961	5144
435	3966	5130
436	3979	5127
437	3985	5113
438	3991	5101
439	3997	5087
440	4002	5074
441	4008	5060
442	4013	5046
443	4019	5033
444	4024	5019
445	4030	5005
446	4037	4994
447	4042	4981
448	4050	4970
449	4057	4959
450	4071	4956
451	4078	4944
452	4087	4935
453	4094	4924
454	4102	4914
455	4112	4905
456	4119	4894
457	4125	4881
458	4133	4871
459	4139	4859
460	4148	4850
461	4154	4837
462	4159	4824
463	4166	4813
464	4172	4800
465	4182	4793
466	4189	4781
467	4213	4790
468	4220	4778
469	4236	4777
470	4247	4770
471	4255	4760
472	4269	4756
473	4278	4747
474	4285	4736
475	4296	4729
476	4306	4721
477	4313	4710
478	4323	4702
479	4331	4692
480	4339	4682
481	4347	4672
482	4356	4663
483	4363	4651
484	4371	4641
485	4377	4629
486	4385	4619
487	4396	4612
488	4403	4601
489	4409	4589
490	4416	4578
491	4422	4566
492	4434	4560
493	4441	4549
494	4451	4541
495	4458	4530
496	4466	4520
497	4473	4509
498	4481	4499
499	4487	4487
500	4495	4477
501	4502	4466
502	4508	4454
503	4515	4443
504	4520	4431
505	4528	4420
506	4535	4410
507	4546	4403
508	4552	4391
509	4560	4381
510	4566	4370
511	4575	4361
512	4584	4352
513	4593	4343
514	4599	4331
515	4608	4323
516	4614	4310
517	4623	4301
518	4629	4290
519	4637	4280
520	4643	4268
521	4649	4257
522	4656	4246
523	4662	4235
524	4670	4226
525	4677	4214
526	4685	4205
